Especie,Descripción de Especie,Fecha,Tipo,Cantidad (VN),Precio,Importe Ajuste,Monto Neto,Moneda,Estado,Operación
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,07/02/2022,Rescate,"33599,215","2,381",,80000,$,Realizada,206513029
FBA RENTA PESOS,FBA RENTA PESOS,07/02/2022,Rescate,"8696,314","22,308",,194000,$,Realizada,206513023
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,02/02/2022,Suscripción,"33780,332","2,368",,80000,$,Realizada,206491644
FBA RENTA PESOS,FBA RENTA PESOS,02/02/2022,Suscripción,"9675,836","22,22",,215000,$,Realizada,206491510
GD35,BONO GD35 LEY EXTRANJERA USC STEP UP VTO 09-07-35,14/01/2022,Renta,"0,01","0,00",,"0,00",U$S,Realizada,710617866
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,14/01/2022,Renta,"0,01","0,00",,"0,00",U$S,Realizada,710619087
GD35,BONO GD35 LEY EXTRANJERA USC STEP UP VTO 09-07-35,14/01/2022,Cargo Renta,"0,00","0,00",,"0,01",$,Realizada,710617866
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,14/01/2022,Cargo Renta,"0,00","0,00",,"0,01",$,Realizada,710619087
GD35,BONO GD35 LEY EXTRANJERA USC STEP UP VTO 09-07-35,14/01/2022,Liquidación de Cupón,"3,00","0,00",,"0,00",CupBONGD35,Realizada,710617866
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,14/01/2022,Liquidación de Cupón,"5,00","0,00",,"0,00",CupBONGD30,Realizada,710619087
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,13/01/2022,Rescate,"2152,359","2,323",,5000,$,Realizada,206385933
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,13/01/2022,Rescate,"8609,434","2,323",,20000,$,Realizada,206391022
GD35,BONO GD35 LEY EXTRANJERA USC STEP UP VTO 09-07-35,12/01/2022,Corte de Cupón,"3,00","0,00",,"0,00",CupBONGD35,Realizada,710615024
GD30,BONO GD30 LEY EXTRANJERA USC STEP UP VTO 09-07-30,10/01/2022,Corte de Cupón,"5,00","0,00",,"0,00",CupBONGD30,Realizada,710607898
FBA RENTA PESOS,FBA RENTA PESOS,10/01/2022,Rescate,"6707,41","21,828",,"146411,89",$,Realizada,206358558
FBA RENTA FIJA PLUS,FBA RENTA FIJA PLUS,03/01/2022,Suscripción,"43628,742","2,292",,100000,$,Realizada,206315902
FBA RENTA PESOS,FBA RENTA PESOS,03/01/2022,Suscripción,"4606,222","21,71",,100000,$,Realizada,206317083
FBA RENTA PESOS,FBA RENTA PESOS,27/12/2021,Rescate,"1157,691","21,595",,25000,$,Realizada,206279703
FBA RENTA PESOS,FBA RENTA PESOS,20/12/2021,Suscripción,"3258,88","21,48",,70000,$,Realizada,206251257
LONG,ACCION LONGVIE SA C I  ORD CLASE B 1 VOTO,13/12/2021,Venta,"420,00","0,00",,"0,00",$,Rechazada,0
FBA RENTA PESOS,FBA RENTA PESOS,13/12/2021,Rescate,"4720,837","21,365",,"100861,12",$,Realizada,206210784
